"datetime","btc","eth","ltc"
"2016-01-01 23:59:59",434.326,0.938126162172615,3.50509789559833
"2016-01-02 23:59:59",430.198,0.972196975503561,3.48551204221769
"2016-01-03 23:59:59",433.534,0.959297835214737,3.49948636604188
"2016-01-04 23:59:59",432.115,0.953102241142765,3.47009869887081
"2016-01-05 23:59:59",431.343,0.96843401179087,3.46080858405456
"2016-01-06 23:59:59",456.434,0.958976780387682,3.6022164186351
"2016-01-07 23:59:59",454.6963,0.995574781193169,3.57524583183934
"2016-01-08 23:59:59",448.709,1.02478096778813,3.57466691426418
"2016-01-09 23:59:59",447.207,1.01996585607406,3.54220182815122
"2016-01-10 23:59:59",448.349,1.06872662106278,3.56256957801689
"2016-01-11 23:59:59",445.792,1.16736290082792,3.52873825473654
"2016-01-12 23:59:59",432.12,1.12958834642001,3.47699945238134
"2016-01-13 23:59:59",429.243,1.1573775532525,3.45735202173725
"2016-01-14 23:59:59",365.912,1.21073546288485,3.02267269805664
"2016-01-15 23:59:59",384.813,1.21569129502475,3.07652566222819
"2016-01-16 23:59:59",386.356,1.32185571175341,3.02182409031068
"2016-01-17 23:59:59",385.132,1.39830112692888,3.03289262235345
"2016-01-18 23:59:59",379.015,1.3769900190471,2.99779107479704
"2016-01-19 23:59:59",418.848,1.56541190454126,3.39420692137957
"2016-01-20 23:59:59",407.815,1.54469186223583,3.2049204531651
"2016-01-21 23:59:59",377.21,1.47134182250497,3.0373131329848
"2016-01-22 23:59:59",389.641,1.69215628493626,3.10300042515853
"2016-01-23 23:59:59",403.056,2.13169149537068,3.18207687826182
"2016-01-24 23:59:59",392.326,2.48139608647395,3.12184053427111
"2016-01-25 23:59:59",392.456,2.0867827269865,3.14222232441574
"2016-01-26 23:59:59",394.491,2.38450115870444,3.25924392760818
"2016-01-27 23:59:59",379.552,2.51971973452348,3.09154367188825
"2016-01-28 23:59:59",378.912,2.4862032320559,3.08268751924958
"2016-01-29 23:59:59",376.921,2.43760127351259,3.05755802501342
"2016-01-30 23:59:59",364.352,2.29876655744912,3.00080801923021
"2016-01-31 23:59:59",371.041,2.22188305935551,3.0494408358136
"2016-02-01 23:59:59",372.868,2.40311185532703,3.05221497765354
"2016-02-02 23:59:59",368.124,2.5159499334568,3.03331590074296
"2016-02-03 23:59:59",388.376,2.55717894430269,3.13889459080353
"2016-02-04 23:59:59",385.733,2.53287856549147,3.1079695006434
"2016-02-05 23:59:59",374.905,2.51777636934356,3.06043983331999
"2016-02-06 23:59:59",375.517,2.95077611317716,3.06858278795082
"2016-02-07 23:59:59",371.136,3.16533569369639,3.03838721520924
"2016-02-08 23:59:59",373.909,3.7204532866885,3.05742447552179
"2016-02-09 23:59:59",379.829,4.42743143770336,3.07219673666265
"2016-02-10 23:59:59",377.058,6.0050003081127,3.04359849884322
"2016-02-11 23:59:59",382.72,5.47564928368319,3.08282644988839
"2016-02-12 23:59:59",390.424,5.37328492194001,3.1193945367245
"2016-02-13 23:59:59",404.144,5.16951243640244,3.1645512899039
"2016-02-14 23:59:59",399.379,5.31905828637744,3.12975911902551
"2016-02-15 23:59:59",407.013,4.36897012206496,3.18577097904231
"2016-02-16 23:59:59",416.85,3.74402247074023,3.21679507660449
"2016-02-17 23:59:59",421.422,4.39793904200392,3.23338195694301
"2016-02-18 23:59:59",419.377,4.49389538296573,3.22662652922661
"2016-02-19 23:59:59",441.12,4.30187567756098,3.46485408292831
"2016-02-20 23:59:59",438.65,4.653970273276,3.44011512044582
"2016-02-21 23:59:59",437.803,5.6087142575767,3.48366876546425
"2016-02-22 23:59:59",420.302,5.61209143984952,3.38560445771508
"2016-02-23 23:59:59",423.187,6.13438125903969,3.3475678562421
"2016-02-24 23:59:59",423.142,5.93625743323269,3.35080077268757
"2016-02-25 23:59:59",427.029,5.8973516264409,3.40256892449275
"2016-02-26 23:59:59",432.139,6.3570917621584,3.404544838755
"2016-02-27 23:59:59",432.797,6.44065084884728,3.43058388468938
"2016-02-28 23:59:59",436.919,6.31202845804973,3.41636887916231
"2016-02-29 23:59:59",431.371,7.56015704961791,3.39487407534261
"2016-03-01 23:59:59",424.485,8.39831816303487,3.35552826292302
"2016-03-02 23:59:59",420.171,9.5049370429982,3.30944582802644
"2016-03-03 23:59:59",409.408,10.0377647510896,3.2323665845195
"2016-03-04 23:59:59",397.241,10.9351977392798,3.15563842976054
"2016-03-05 23:59:59",404.912,10.9646617816357,3.18020695196237
"2016-03-06 23:59:59",413.74,9.39746986881355,3.24944870944074
"2016-03-07 23:59:59",411.877,9.80069078731416,3.22901126652056
"2016-03-08 23:59:59",412.319,11.9715797564935,3.25702154757263
"2016-03-09 23:59:59",416.292,11.2064229700308,3.27736926585224
"2016-03-10 23:59:59",419.299,11.2089366928825,3.35541402612921
"2016-03-11 23:59:59",410.801,13.3762066735602,3.2742547946669
"2016-03-12 23:59:59",412.495,14.8935997845781,3.29027995710387
"2016-03-13 23:59:59",414.585,12.2898246067052,3.30122883826602
"2016-03-14 23:59:59",415.641,12.966897673599,3.29526839596709
"2016-03-15 23:59:59",416.544,12.5294331452808,3.30086563175772
"2016-03-16 23:59:59",418.4,10.956232214701,3.29511065837551
"2016-03-17 23:59:59",408.28,10.7976503388747,3.17280902832671
"2016-03-18 23:59:59",406.739,10.4395358681716,3.17076079552793
"2016-03-19 23:59:59",411.882,10.2174909738872,3.20468536640262
"2016-03-20 23:59:59",411.091,11.8511226942559,3.19587769309134
"2016-03-21 23:59:59",416.36,11.3174276751707,3.21767211293258
"2016-03-22 23:59:59",418.076,12.403191507243,3.23200387748876
"2016-03-23 23:59:59",414.883,11.12762218636,3.21122245811745
"2016-03-24 23:59:59",415.743,10.6406914321158,3.22251905573242
"2016-03-25 23:59:59",416.715,10.9655224446876,3.22449282153688
"2016-03-26 23:59:59",425.349,10.3775168182016,3.28362825567704
"2016-03-27 23:59:59",422.756,11.6762515403909,3.25479750925189
"2016-03-28 23:59:59",415.547,11.7381708304657,3.23000157366021
"2016-03-29 23:59:59",412.597,11.8822867595342,3.21105026076485
"2016-03-30 23:59:59",415.366,11.3546305429002,3.23568009875021
"2016-03-31 23:59:59",416.754,11.6360718033468,3.23563047209484
"2016-04-01 23:59:59",419.67,11.5639776320382,3.26236381732374
"2016-04-02 23:59:59",418.185,11.5123801201048,3.24980341161961
"2016-04-03 23:59:59",419.437,11.1868812388837,3.24067951202868
"2016-04-04 23:59:59",422.651,10.419484689889,3.2556116754648
"2016-04-05 23:59:59",421.656,10.6662234200739,3.25192268013271
"2016-04-06 23:59:59",421.076,10.0295684039377,3.2357405424503
"2016-04-07 23:59:59",418.474,9.75894491102147,3.2143722968987
"2016-04-08 23:59:59",416.145,9.89971959541582,3.21723691673657
"2016-04-09 23:59:59",421.133,8.81461717583012,3.23563220095554
"2016-04-10 23:59:59",422.584,8.66829211893249,3.23897558689385
"2016-04-11 23:59:59",426.181,7.51681223420342,3.27505898483649
"2016-04-12 23:59:59",424.269,8.01560459310512,3.25475273605791
"2016-04-13 23:59:59",424.932,8.43365602127963,3.25647205976101
